order_id,customer_id,order_date,region,channel,quantity,amount_usd,status
10001,C-201,2024-03-01,emea,web,3,148.50,shipped
10002,C-202,2024-03-01,namer,web,1,22.00,shipped
10003,C-203,2024-03-02,apac,mobile,7,311.75,cancelled
10004,C-204,2024-03-02,amer,web,2,64.20,shipped
10005,C-205,2024-03-03,emea,partner,5,240.00,pending
10006,C-206,2024-03-04,amer,mobile,1,19.99,shipped
10007,C-207,2024-03-04,apac,web,4,180.10,shipped
10008,C-208,2024-03-05,emea,web,,75.00,pending
10009,C-209,2024-03-05,namer,partner,2,58.30,shipped
10010,C-210,2024-03-06,amer,web,9,412.00,shipped
10011,C-211,2024-03-06,apac,mobile,3,97.45,shipped
10012,C-212,2024-03-07,emea,web,1,31.10,pending
10013,C-213,2024-03-08,amer,web,2,54.60,refunded
10014,C-214,2024-03-08,namer,mobile,6,299.00,shipped
10015,C-215,2024-03-09,apac,partner,1,18.75,shipped
10016,C-216,2024-03-09,emea,web,4,172.80,shipped
10017,C-217,2024-03-10,amer,web,2,61.40,shipped
10018,C-218,2024-03-11,apac,web,8,364.90,shipped
10019,C-219,2024-03-11,emea,mobile,three,88.20,shipped
10020,C-220,2024-03-12,amer,web,1,25.00,pending
10021,C-221,2024-03-12,namer,web,5,225.50,shipped
10022,C-222,2024-03-13,apac,mobile,2,47.30,shipped
10023,C-223,2024-03-13,emea,web,1,91400.00,shipped
10024,C-224,2024-03-14,amer,partner,3,133.35,refunded
10025,C-225,2024-03-14,namer,web,2,59.90,shipped
10025,C-226,2024-03-15,emea,web,4,196.00,pending
10026,C-227,2024-03-15,apac,mobile,7,318.60,shipped
